"","BFISH","MISSION_ID","DROP_CD","VIDEO_FRAME","TIME_FROM_TOUCHDOWN_MIN","SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME","MAXN","DATA_TYPE","SEQUENCE_NR","CREATE_DTM","CREATED_BY","LAST_MOD_DTM","LAST_MOD_BY"
"2944","BFISH_2021_F","PIFG21","20210711_224329",10224,0.9611,"NONE","No Fish in Drop","No fish",NA,NA,"00000029",2022-06-01,NA,NA,NA
"2945","BFISH_2021_F","PIFG21","20210711_224416",12069,0.2222,"NONE","No Fish in Drop","No fish",NA,NA,"00000030",2022-06-01,NA,NA,NA
"2946","BFISH_2021_F","PIFG21","20210711_234656",13842,3.5014,"SEDU","Seriola dumerili","amberjack",NA,"non-target","00000031",2022-06-01,NA,NA,NA
"2947","BFISH_2021_F","PIFG21","20210711_234656",16203,4.9417,"PRZO","Pristipomoides zonatus","Gindai",1,"MaxN","00000032",2022-06-01,NA,NA,NA
"2948","BFISH_2021_F","PIFG21","20210711_234656",17240,5.3903,"RAFI","Randallichthys filamentosus","Randall's snapper",NA,"non-target","00000033",2022-06-01,NA,NA,NA
"2949","BFISH_2021_F","PIFG21","20210711_234656",17563,5.3944,"PERC","Perciformes","Fish",NA,"non-target","00000034",2022-06-01,NA,NA,NA
"2950","BFISH_2021_F","PIFG21","20210711_234656",17566,0,"PRSP","Pristipomoides sp.","Jobfish",3,"MaxN","00000035",2022-06-01,NA,NA,NA
"2951","BFISH_2021_F","PIFG21","20210711_234800",14290,0,"CAGA","Carcharhinus galapagensis","Galapagos shark",NA,"non-target","00000036",2022-06-01,NA,NA,NA
"2952","BFISH_2019_F","SE1906","20190925_202536",2898,0,"LUKA","Lutjanus kasmira","Bluestripe snapper",NA,"non-target","00000584",2020-05-14,NA,NA,NA
"2953","BFISH_2019_F","SE1906","20190925_202536",2984,0.1194,"WRAS","Labrid sp.","Wrasse sp.",NA,"non-target","00000585",2020-05-14,NA,NA,NA
"2954","BFISH_2019_F","SE1906","20190925_202536",3442,0.7556,"HEDI","Heniochus diphreutus","False moorish idol",NA,"non-target","00000586",2020-05-14,NA,NA,NA
"2955","BFISH_2019_F","SE1906","20190925_202536",6254,4.6611,"CHVE","Chromis verater","Threespot chromis",NA,"non-target","00000587",2020-05-14,NA,NA,NA
"2956","BFISH_2019_F","SE1906","20190925_202536",6432,4.9083,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000588",2020-05-14,NA,NA,NA
"2957","BFISH_2019_F","SE1906","20190925_202536",6749,5.3486,"APVI","Aprion virescens","UKU",NA,"non-target","00000589",2020-05-14,NA,NA,NA
"2958","BFISH_2019_F","SE1906","20190925_202536",9014,8.4944,"XACA","Xanthichthys caeruleolineatus","Bluelined triggerfish",NA,"non-target","00000590",2020-05-14,NA,NA,NA
"2959","BFISH_2019_F","SE1906","20190925_202536",10716,10.8583,"NASP","Naso sp.","unicornfish sp.",NA,"non-target","00000591",2020-05-14,NA,NA,NA
"2960","BFISH_2019_F","SE1906","20190925_202536",11322,11.7,"PAMU","Parupeneus multifasciatus","Manybar goatfish",NA,"non-target","00000592",2020-05-14,NA,NA,NA
"2961","BFISH_2019_F","SE1906","20190925_202536",12420,13.225,"BOAL","Bodianus albotaeniatus","Table boss",NA,"non-target","00000593",2020-05-14,NA,NA,NA
"2962","BFISH_2019_F","SE1906","20190925_203512",9364,7.9097,"PRFI","Pristipomoides filamentosus","Opakapaka",2,"MaxN","00000594",2020-05-14,NA,NA,NA
"2963","BFISH_2019_F","SE1906","20190925_203512",10214,9.0903,"BOAL","Bodianus albotaeniatus","Table boss",NA,"non-target","00000595",2020-05-14,NA,NA,NA
"2964","BFISH_2019_F","SE1906","20190925_203845",7187,0.6653,"PERC","Perciformes","Fish",NA,"non-target","00000596",2020-05-14,NA,NA,NA
"2965","BFISH_2019_F","SE1906","20190925_203845",7503,1.1042,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000597",2020-05-14,NA,NA,NA
"2966","BFISH_2019_F","SE1906","20190925_203845",7762,1.4639,"PRFI","Pristipomoides filamentosus","Opakapaka",3,"MaxN","00000598",2020-05-14,NA,NA,NA
"2967","BFISH_2019_F","SE1906","20190925_203845",7784,1.4944,"SEDU","Seriola dumerili","KAHALA",NA,"non-target","00000599",2020-05-14,NA,NA,NA
"2968","BFISH_2019_F","SE1906","20190925_203845",8434,2.3972,"ETCO","Etelis coruscans","Onaga",1,"MaxN","00000600",2020-05-14,NA,NA,NA
"2969","BFISH_2019_F","SE1906","20190925_205123",8186,1.6847,"FISH","Teleost sp.","Bony fish sp.",NA,"non-target","00000601",2020-05-14,NA,NA,NA
"2970","BFISH_2019_F","SE1906","20190925_205123",13488,9.0486,"SYSP","Symphysanodon sp.","Slopefish",NA,"non-target","00000602",2020-05-14,NA,NA,NA
"2971","BFISH_2019_F","SE1906","20190925_211458",7639,2.7611,"NONE","No Fish in Drop","NONE",NA,NA,"00000603",2020-05-14,NA,NA,NA
"2972","BFISH_2019_F","SE1906","20190925_214818",12963,13.475,"FISH","Teleost sp.","Bony fish sp.",NA,"non-target","00000604",2020-05-14,NA,NA,NA
"2973","BFISH_2019_F","SE1906","20190925_215834",3782,1.5347,"NONE","No Fish in Drop","NONE",NA,NA,"00000605",2020-05-14,NA,NA,NA
"2974","BFISH_2019_F","SE1906","20190925_220557",5777,2.1083,"NONE","No Fish in Drop","NONE",NA,NA,"00000606",2020-05-14,NA,NA,NA
"2975","BFISH_2019_F","SE1906","20190925_231549",6033,2.85,"NONE","No Fish in Drop","NONE",NA,NA,"00000607",2020-05-14,NA,NA,NA
"2976","BFISH_2019_F","SE1906","20190925_232540",9843,7.6069,"PERC","Perciformes","Fish",NA,"non-target","00000608",2020-05-14,NA,NA,NA
"2977","BFISH_2019_F","SE1906","20190925_234450",3400,0.475,"PERC","Perciformes","Fish",NA,"non-target","00000609",2020-05-14,NA,NA,NA
"2978","BFISH_2019_F","SE1906","20190926_001716",7670,1.5931,"NONE","No Fish in Drop","NONE",NA,NA,"00000610",2020-05-14,NA,NA,NA
"2979","BFISH_2019_F","SE1906","20190926_003134",4260,1.4722,"NONE","No Fish in Drop","NONE",NA,NA,"00000611",2020-05-14,NA,NA,NA
"2980","BFISH_2019_F","SE1906","20190926_003149",5802,1.9472,"NONE","No Fish in Drop","NONE",NA,NA,"00000612",2020-05-14,NA,NA,NA
"2981","BFISH_2019_F","SE1906","20190926_003207",12800,10.3125,"PUFF","Tetraodontid sp.","Puffer sp.",NA,"non-target","00000613",2020-05-14,NA,NA,NA
"2982","BFISH_2019_F","SE1906","20190926_003207",13983,11.9556,"CAAM","Carcharhinus amblyrhynchos","Blacktail reef shark",NA,"non-target","00000614",2020-05-14,NA,NA,NA
