name,date,data_year,error_structure,species,data_treatment,q_config,ab_config,lehi_filter,knot_dist,fine_scale,all_lengths,gears_used,model_name_short,category,time,estimate,cv,l95,u95,estimate_sc,l95_sc,u95_sc,model_number
2021_pldg_mv_05_gearSP.vesselEP_depth3.complexity3.hardness3.SCALED_TRUE_7.5_TRUE_TRUE_pit_noxval,2023-01-06T10:00:00Z,2021,pldg,mv,05,gearSP.vesselEP,depth3.complexity3.hardness3.SCALED,TRUE,7.5,TRUE,FALSE,both,26 2021.05.gearSP.vesselEP.d3c3h3SD,Kalekale (PRSI),2017,1.80103576200389,0.34319832422949,0.924022908292599,3.51044307116872,2.16556013609273,1.11104244415919,4.22094648830715,26
2021_pldg_mv_05_gearSP.vesselEP_depth3.complexity3.hardness3.SCALED_TRUE_7.5_TRUE_TRUE_pit_noxval,2023-01-06T10:00:00Z,2021,pldg,mv,05,gearSP.vesselEP,depth3.complexity3.hardness3.SCALED,TRUE,7.5,TRUE,FALSE,both,26 2021.05.gearSP.vesselEP.d3c3h3SD,Gindai (PRZO),2017,0.00927904115781421,0.680066609513756,0.00270376952604004,0.0318446539097264,0.480999586251106,0.140155863221751,1.65073794742131,26
2021_pldg_mv_05_gearSP.vesselEP_depth3.complexity3.hardness3.SCALED_TRUE_7.5_TRUE_TRUE_pit_noxval,2023-01-06T10:00:00Z,2021,pldg,mv,05,gearSP.vesselEP,depth3.complexity3.hardness3.SCALED,TRUE,7.5,TRUE,FALSE,both,26 2021.05.gearSP.vesselEP.d3c3h3SD,Hapu'upu'u (HYQU),2017,0.197477504582582,0.332613524015623,0.103313674590356,0.377465664354602,0.808744742957401,0.423108401015978,1.5458640331666,26
2021_pldg_mv_05_gearSP.vesselEP_depth3.complexity3.hardness3.SCALED_TRUE_7.5_TRUE_TRUE_pit_noxval,2023-01-06T10:00:00Z,2021,pldg,mv,05,gearSP.vesselEP,depth3.complexity3.hardness3.SCALED,TRUE,7.5,TRUE,FALSE,both,26 2021.05.gearSP.vesselEP.d3c3h3SD,Lehi (APRU),2017,0.227796844516424,0.706935852754572,0.0637637248475983,0.813807576261665,0.487174231823334,0.136367313325903,1.74043710596132,26
2021_pldg_mv_05_gearSP.vesselEP_depth3.complexity3.hardness3.SCALED_TRUE_7.5_TRUE_TRUE_pit_noxval,2023-01-06T10:00:00Z,2021,pldg,mv,05,gearSP.vesselEP,depth3.complexity3.hardness3.SCALED,TRUE,7.5,TRUE,FALSE,both,26 2021.05.gearSP.vesselEP.d3c3h3SD,Total,2018,4.52981898009115,0.211134308034082,2.98323705750947,6.87818621076139,0.774065938031881,0.509782444164264,1.17536035867902,26
2021_pldg_mv_05_gearSP.vesselEP_depth3.complexity3.hardness3.SCALED_TRUE_7.5_TRUE_TRUE_pit_noxval,2023-01-06T10:00:00Z,2021,pldg,mv,05,gearSP.vesselEP,depth3.complexity3.hardness3.SCALED,TRUE,7.5,TRUE,FALSE,both,26 2021.05.gearSP.vesselEP.d3c3h3SD,'Opakapaka (PRFI),2018,2.57162026657628,0.300069743936186,1.4294426598028,4.62644006747229,0.678149836522571,0.376951573551812,1.22001666273023,26
2021_pldg_mv_05_gearSP.vesselEP_depth3.complexity3.hardness3.SCALED_TRUE_7.5_TRUE_TRUE_pit_noxval,2023-01-06T10:00:00Z,2021,pldg,mv,05,gearSP.vesselEP,depth3.complexity3.hardness3.SCALED,TRUE,7.5,TRUE,FALSE,both,26 2021.05.gearSP.vesselEP.d3c3h3SD,Ehu (ETCA),2018,0.212910688066037,0.386465294882795,0.100955417234829,0.449019600278709,0.750039892468493,0.355644852659709,1.58180228418045,26
2021_pldg_mv_05_gearSP.vesselEP_depth3.complexity3.hardness3.SCALED_TRUE_7.5_TRUE_TRUE_pit_noxval,2023-01-06T10:00:00Z,2021,pldg,mv,05,gearSP.vesselEP,depth3.complexity3.hardness3.SCALED,TRUE,7.5,TRUE,FALSE,both,26 2021.05.gearSP.vesselEP.d3c3h3SD,Onaga (ETCO),2018,0.250153451174171,0.899034296929802,0.0536653480718343,1.16605503146249,1.17292194934564,0.251626609096438,5.46741024010504,26
2021_pldg_mv_05_gearSP.vesselEP_depth3.complexity3.hardness3.SCALED_TRUE_7.5_TRUE_TRUE_pit_noxval,2023-01-06T10:00:00Z,2021,pldg,mv,05,gearSP.vesselEP,depth3.complexity3.hardness3.SCALED,TRUE,7.5,TRUE,FALSE,both,26 2021.05.gearSP.vesselEP.d3c3h3SD,Kalekale (PRSI),2018,0.917626288594938,0.379995919937301,0.440220627769175,1.91276362897296,1.10335116733103,0.529319996134858,2.29990139677357,26
2021_pldg_mv_05_gearSP.vesselEP_depth3.complexity3.hardness3.SCALED_TRUE_7.5_TRUE_TRUE_pit_noxval,2023-01-06T10:00:00Z,2021,pldg,mv,05,gearSP.vesselEP,depth3.complexity3.hardness3.SCALED,TRUE,7.5,TRUE,FALSE,both,26 2021.05.gearSP.vesselEP.d3c3h3SD,Gindai (PRZO),2018,0.0150758041368718,0.66570693149017,0.00448952176166448,0.0506245169171553,0.781487594343876,0.232724273241033,2.62423361176791,26
