"","SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME","HAWAIIAN_LOCAL_NAME","FAMILY_NAME","COMMON_FAMILY","SPECIES_TYPE_CD","SPECIES_TYPE_CD2","SPECIES_TYPE_NAME","MIN_FL_CM","MAX_FL_CM","A","B","GCF","CM_1LB","NOTES","SEQUENCE_NR","CREATE_DTM","CREATED_BY","LAST_MOD_DTM","LAST_MOD_BY"
"77","ALSP","Alopiidae","Thresher shark","Thresher shark","Alopiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000009",NA,NA,NA,NA
"78","ANSP","Antigonia sp.","Boarfish sp.",NA,"Caproidae","Boarfishes","OTH","OTS","Other Fish, Small (not acoustic target)",NA,NA,NA,NA,NA,NA,NA,"00000010",NA,NA,NA,NA
"79","APAR","Apolemichthys arcuatus","Banded angelfish",NA,"Pomacanthidae","Angelfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000011",NA,NA,NA,NA
"80","APFU","Aphareus furca","Small toothed jobfish","waha nui","Lutjanidae","Snappers","OTB","OTB",NA,NA,NA,NA,NA,NA,NA,NA,"00000012",NA,NA,NA,NA
"81","APFU","Aphareus furca","Small toothed jobfish","Wahanui","Lutjanidae","Snappers","OTB","OTB",NA,NA,NA,NA,NA,NA,NA,NA,"00000013",NA,NA,NA,NA
"82","APRU","Aphareus rutilans","Lehi","Lehi","Lutjanidae","Snappers","DPS","DPS","Deep 7",NA,NA,0.0001298,2.458,1,27.6,"Common names and life history paparmetners are MHI specific","00000014",NA,NA,NA,NA
"83","APVI","Aprion virescens","Green jobfish","Uku","Lutjanidae","Snappers","OTB","OTB",NA,42,101,2.1e-05,2.9052,NA,NA,"Common names and life history paparmetners are MHI specific","00000015",NA,NA,NA,NA
"84","ARBR","Ariomma brevimanus","Indian driftfish","Shortfin Ariomma","Ariommatidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000016",NA,NA,NA,NA
"85","AUCH","Aulostomus chinensis","Chinese trumpetfish",NA,"Aulostomidae","Trumpetfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000017",NA,NA,NA,NA
"86","BEDA","Beryx decadactylus","Alfonsino","Alfonsin","Berycidae","Alfonsinos","OTB",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000018",NA,NA,NA,NA
"87","BIGE","Priacanthid sp.","Big eye sp.",NA,"Priacanthidae","Bigeyes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000019",NA,NA,NA,NA
"88","BOAL","Bodianus albotaeniatus","Hawaiian hogfish","Table boss","Labridae","Wrasses","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000020",NA,NA,NA,NA
"89","BUTT","Chaetodontid sp.","Butterflyfish sp.",NA,"Chaetodontidae","Butterflyfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000021",NA,NA,NA,NA
"90","BUTT","Chaetodontid","Butterflyfish sp.",NA,"Chaetodontidae","Butterflyfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000022",NA,NA,NA,NA
"91","CAAL","Carcharhinus altimus","Bignose shark",NA,"Carcharinidae","Requiem sharks","SHK","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,"According to R Moffitt, this is the speceis most often caught during BFISH cooperative research fishing operations","00000023",NA,NA,NA,NA
"92","CAAM","Carcharhinus amblyrhynchos","Blacktail reef shark","shark reef","Carcharinidae","Requiem sharks","SHK","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,NA,"00000024",NA,NA,NA,NA
"93","CAAM","Carcharhinus amblyrhynchos","Blacktail reef shark","Grey Reef Shark","Carcharinidae","Requiem sharks","SHK","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,NA,"00000025",NA,NA,NA,NA
"94","CACA","Carcharodon carcharias","Great White Shark","Great White","Carcharinidae","Requiem sharks","SHK","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,NA,"00000026",NA,NA,NA,NA
"95","CAEQ","Carangoides equula","Whitefin trevally","Whitefin trevally","Carangidae","Jacks","OTB","OTB","Other Bottomfish",NA,NA,NA,NA,NA,NA,NA,"00000027",NA,NA,NA,NA
"96","CAGA","Carcharhinus galapagensis","Galapagos shark",NA,"Carcharinidae","Requiem sharks","SHK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000028",NA,NA,NA,NA
"97","CAFE","Carangoides ferdau","Blue trevally",NA,"Carangidae","Jacks","OTB","OTB",NA,NA,NA,NA,NA,NA,NA,NA,"00000029",NA,NA,NA,NA
"98","CAIG","Caranx ignobilis","Giant trevally","Ulua","Carangidae","Jacks","OTB","OTB",NA,NA,NA,NA,NA,NA,NA,NA,"00000030",NA,NA,NA,NA
"99","CAIN","Canthigaster inframacula","Puffer",NA,"Tetraodontidae","Puffers","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000031",NA,NA,NA,NA
"100","CALU","Caranx lugubris","Black Trevally","Gunkan Ulua","Carangidae","Jacks","OTB","OTB","Other Bottomfish",NA,NA,NA,NA,NA,NA,NA,"00000032",NA,NA,NA,NA
"101","CAME","Caranx melampygus","Bluefin trevally","omilu","Carangidae","Jacks","OTB","OTB",NA,NA,NA,NA,NA,NA,NA,NA,"00000033",NA,NA,NA,NA
"102","CAOR","Carangoides orthogrammus","Island trevally","Caranx orthogrammus sp","Carangidae","Jacks","OTB","OTB",NA,NA,NA,NA,NA,NA,NA,NA,"00000034",NA,NA,NA,NA
"103","CAOR","Carangoides orthogrammus","Island trevally","Caranx orthogrammus sp (papa)","Carangidae","Jacks","OTB","OTB",NA,NA,NA,NA,NA,NA,NA,NA,"00000035",NA,NA,NA,NA
"104","CAOR","Carangoides orthogrammus","Island trevally","Island Jack","Carangidae","Jacks","OTB","OTB",NA,NA,NA,NA,NA,NA,NA,NA,"00000036",NA,NA,NA,NA
"105","CAOR","Carangoides orthogrammus","Island trevally","yellow spot papio","Carangidae","Jacks","OTB","OTB",NA,NA,NA,NA,NA,NA,NA,NA,"00000037",NA,NA,NA,NA
"106","CAOR","Carangoides orthogrammus","Island trevally","Yellowspot Papio","Carangidae","Jacks","OTB","OTB",NA,NA,NA,NA,NA,NA,NA,NA,"00000038",NA,NA,NA,NA
"107","CAPL","Carcharhinus plumbeus","Sandbar shark","Sandbar shark","Carcharinidae","Requiem sharks","SHK","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,NA,"00000039",NA,NA,NA,NA
"108","CASE","Caranx sexfasciatus","Bigeye trevally","Bigeye trevally","Carangidae","Jacks","OTB","OTB",NA,NA,NA,NA,NA,NA,NA,NA,"00000040",NA,NA,2019-07-30 10:15:36,"BFISH"
"109","CHFR","Chaetodon fremblii","Bluestriped butterflyfish",NA,"Chaetodontidae","Butterflyfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000041",NA,NA,NA,NA
"110","CHLU","Chaetodon lunula","Raccoon butterflyfish",NA,"Chaetodontidae","Butterflyfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000042",NA,NA,NA,NA
"111","CHMI","Chaetodon miliaris","Millet butterflyfish",NA,"Chaetodontidae","Butterflyfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000043",NA,NA,NA,NA
"112","CHST","Chromis struhsakeri","Struhsaker's chromis",NA,"Pomacentridae","Damselfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000044",NA,NA,NA,NA
"113","CHTI","Chaetodon tinkeri","Hawaiian butterflyfish",NA,"Chaetodontidae","Butterflyfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000045",NA,NA,NA,NA
"114","CHVE","Chromis verater","Threespot chromis",NA,"Pomacentridae","Damselfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000046",NA,NA,NA,NA
"115","COBA","Coris ballieui","Lined coris","Lined coris","Labridae","Wrasses","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000047",NA,NA,NA,NA
"116","COJA","Cookeolus japonicus","Hawaiian big-eye","Aweoweo","Priacanthidae","Bigeyes","OTH","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,NA,"00000048",NA,NA,NA,NA
"117","COJA","Cookeolus japonicus","Hawaiian big-eye","Deep sea Aweoweo","Priacanthidae","Bigeyes","OTH","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,NA,"00000049",NA,NA,NA,NA
"118","COOL","Conger oligoporus","Conger eel",NA,"Congridae","Conger eels","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000050",NA,NA,NA,NA
"119","CORO","Fistulariidae sp.","Cornetfish sp.",NA,"Fistulariidae","Cornetfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000051",NA,NA,NA,NA
"120","DAMS","Chromis sp.","Damselfish sp.",NA,"Pomacentridae","Damselfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000052",NA,NA,NA,NA
"121","DARK","too dark to annotate","dark","dark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000053",NA,NA,NA,NA
"122","DASY","Dasyatidae sp.","Stingray sp.","stingray","Dasyatidae","Whiptail stingrays","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000054",NA,NA,NA,NA
"123","DASY","Dasyatis sp.","Stingray sp.","stingray","Dasyatidae","Whiptail stingrays","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000055",NA,NA,NA,NA
"124","DASY","Stingray","Stingray sp.","stingray","Dasyatidae","Whiptail stingrays","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000056",NA,NA,NA,NA
"125","DEMA","Decapterus macarellus","Mackerel scad",NA,"Carangidae","Jacks","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000057",NA,NA,NA,NA
"126","DEMU","Decapterus muroadsi","Amberstripe scad",NA,"Carangidae","Jacks","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000058",NA,NA,NA,NA
"127","DESP","Decapterus sp.","Mackerel scad sp.",NA,"Carangidae","Jacks","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000059",NA,NA,NA,NA
"128","DESP","Decapterus sp.","Mackerel scad sp.","opelu mau mau","Carangidae","Jacks","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000060",NA,NA,NA,NA
"129","EAGL","Myliobatid sp.","Eagle ray sp.",NA,"Myliobatidae","Eagle rays","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000061",NA,NA,NA,NA
"130","EESP","Anguilliformes sp.","Eel sp. ","eel",NA,NA,"OTH","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,NA,"00000062",NA,NA,NA,NA
"131","EESP","Anguilliformes sp.","Eel sp. ","Puhi",NA,NA,"OTH","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,NA,"00000063",NA,NA,NA,NA
"132","ELBI","Elagatis bipinnulata","Rainbow runner","rainbow runner","Carangidae","Jacks","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000064",NA,NA,NA,NA
"133","EMSP","Emmelichthyid sp.","Rover sp.",NA,"Emmelichthyidae","Rovers","OTB",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000065",NA,NA,NA,NA
"134","ERSC","Erythrocles scintillans","Golden rover","Golden kalekale","Emmelichthyidae","Rovers","OTB","OTB","Other Bottomfish",NA,NA,NA,NA,NA,NA,NA,"00000066",NA,NA,NA,NA
"135","ERSC","Erythrocles scintillans","Golden rover","Golden kale","Emmelichthyidae","Rovers","OTB","OTB","Other Bottomfish",NA,NA,NA,NA,NA,NA,NA,"00000067",NA,NA,NA,NA
"136","ETCA","Etelis carbunculus","Ehu","Ehu","Lutjanidae","Snappers","DPS","DPS","Deep 7",23.9,64,1.551e-05,3.026,0.6171,29.9,NA,"00000068",NA,NA,NA,NA
"137","ETCO","Etelis coruscans","Onaga","Onaga","Lutjanidae","Snappers","DPS","DPS","Deep 7",29,94,6.005e-05,2.673,0.3947,28.2,NA,"00000069",NA,NA,NA,NA
"138","EUAF","Euthynnus affinis","Kawakawa","Kawakawa","Scombridae","Tunas","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000070",NA,NA,NA,NA
"139","EUIL","Eumegistus illustris","Monchong","Monchong","Bramidae","Pomfret","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000071",NA,NA,NA,NA
"140","FISH","Teleost sp.","Bony fish sp.","Unknown",NA,NA,"OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000072",NA,NA,NA,NA
"141","FISH","Teleost","Bony fish sp.","Unknown",NA,NA,"OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000073",NA,NA,NA,NA
"142","FOLO","Forcipiger longirostris","Longnose butterflyfish",NA,"Chaetodontidae","Butterflyfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000074",NA,NA,NA,NA
"143","GACU","Galeocerdo cuvier","Tiger shark",NA,"Carcharinidae","Requiem sharks","SHK","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,NA,"00000075",NA,NA,NA,NA
"144","GEPE","Genicanthus personatus","Masked Angelfish",NA,"Pomacanthidae","Angelfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000076",NA,NA,NA,NA
"145","GOAT","Mullid sp.","Goatfish sp.",NA,"Mullidae","Goatfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000077",NA,NA,NA,NA
"146","GOAT","Mullid","Goatfish sp.",NA,"Mullidae","Goatfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000078",NA,NA,NA,NA
