"PSU","total_samples_in_psu","samples_with_opaka_catch","prop_zeros_opaka"
3348,1,0,100
3356,1,0,100
3357,1,0,100
3379,1,0,100
3406,1,0,100
3411,1,0,100
3454,1,0,100
3455,1,0,100
3458,1,0,100
3480,1,0,100
3482,1,0,100
3489,1,0,100
3516,1,0,100
3535,1,0,100
3544,1,0,100
3546,1,0,100
3547,1,0,100
3579,1,0,100
3580,1,0,100
3582,1,0,100
3586,1,0,100
3604,1,0,100
3609,1,0,100
3631,1,0,100
3632,1,0,100
3643,1,0,100
3656,1,0,100
3669,1,0,100
3671,1,0,100
3673,1,0,100
3685,1,0,100
3739,1,0,100
3750,1,0,100
3767,1,0,100
3770,1,0,100
3780,1,0,100
3788,1,0,100
3803,1,0,100
3805,1,0,100
3807,1,0,100
3850,1,0,100
3863,1,0,100
3867,1,0,100
3878,1,0,100
3902,1,0,100
3908,1,0,100
3917,1,0,100
3975,1,0,100
3983,1,0,100
3984,1,0,100
3996,1,0,100
4004,1,0,100
4008,1,0,100
4013,1,0,100
4022,1,0,100
4027,1,0,100
4047,1,0,100
4062,1,0,100
4077,1,0,100
4082,1,0,100
4086,1,0,100
4126,1,0,100
4132,1,0,100
4140,1,0,100
4143,1,0,100
4152,1,0,100
4156,1,0,100
4162,1,0,100
4176,1,0,100
4212,1,0,100
4225,1,0,100
4249,1,0,100
4252,1,0,100
4262,1,0,100
4263,1,0,100
4265,1,0,100
4281,1,0,100
4290,1,0,100
4292,1,0,100
4299,1,0,100
4321,1,0,100
4328,1,0,100
4329,1,0,100
4346,1,0,100
4351,1,0,100
4359,1,0,100
4365,1,0,100
4369,1,0,100
4385,1,0,100
4398,1,0,100
4406,1,0,100
4409,1,0,100
4424,1,0,100
4428,1,0,100
4432,1,0,100
4433,1,0,100
4437,1,0,100
4440,1,0,100
4458,1,0,100
4465,1,0,100
4466,1,0,100
4467,1,0,100
4489,1,0,100
4496,1,0,100
4502,1,0,100
4507,1,0,100
4508,1,0,100
4513,1,0,100
4531,1,0,100
4541,1,0,100
4546,1,0,100
4554,1,0,100
4559,1,0,100
4568,1,0,100
4570,1,0,100
4572,1,0,100
4576,1,0,100
4578,1,0,100
4584,1,0,100
4604,1,0,100
4611,1,0,100
4620,1,0,100
4626,1,0,100
4636,1,0,100
4639,1,0,100
4642,1,0,100
4645,1,0,100
4689,1,0,100
4693,1,0,100
4698,1,0,100
4722,1,0,100
4727,1,0,100
4745,1,0,100
4765,1,0,100
4769,1,0,100
4777,1,0,100
4800,1,0,100
4845,1,0,100
4869,1,0,100
4875,1,0,100
4893,1,0,100
4894,1,0,100
4896,1,0,100
4897,1,0,100
4906,1,0,100
4920,1,0,100
4925,1,0,100
4930,1,0,100
4947,1,0,100
4949,1,0,100
4951,1,0,100
4954,1,0,100
4985,1,0,100
4989,1,0,100
5032,1,0,100
5033,1,0,100
5043,1,0,100
5119,1,0,100
5124,1,0,100
5134,1,0,100
5150,1,0,100
5159,1,0,100
5172,1,0,100
5227,1,0,100
5237,1,0,100
5240,1,0,100
5242,1,0,100
5243,1,0,100
5245,1,0,100
5249,1,0,100
5263,1,0,100
5287,1,0,100
5291,1,0,100
5295,1,0,100
5366,1,0,100
5373,1,0,100
5402,1,0,100
5413,1,0,100
5438,1,0,100
5445,1,0,100
5448,1,0,100
5454,1,0,100
5471,1,0,100
5479,1,0,100
5545,1,0,100
5549,1,0,100
5556,1,0,100
5564,1,0,100
5577,1,0,100
5584,1,0,100
5609,1,0,100
5616,1,0,100
5618,1,0,100
5626,1,0,100
5635,1,0,100
5636,1,0,100
5655,1,0,100
5675,1,0,100
5698,1,0,100
5702,1,0,100
5703,1,0,100
5717,1,0,100
5723,1,0,100
5776,1,0,100
5793,1,0,100
5819,1,0,100
5851,1,0,100
5866,1,0,100
5906,1,0,100
5909,1,0,100
5910,1,0,100
5931,1,0,100
5975,1,0,100
5980,1,0,100
5990,1,0,100
5995,1,0,100
5996,1,0,100
6000,1,0,100
6001,1,0,100
6024,1,0,100
6030,1,0,100
6042,1,0,100
6084,1,0,100
6094,1,0,100
6097,1,0,100
6099,1,0,100
6102,1,0,100
6103,1,0,100
6122,1,0,100
6158,1,0,100
6184,1,0,100
6186,1,0,100
6189,1,0,100
6207,1,0,100
6217,1,0,100
6219,1,0,100
6231,1,0,100
6251,1,0,100
6276,1,0,100
6284,1,0,100
6303,1,0,100
6304,1,0,100
6310,1,0,100
6321,1,0,100
6357,1,0,100
6362,1,0,100
6364,1,0,100
6370,1,0,100
6394,1,0,100
6401,1,0,100
6416,1,0,100
6457,1,0,100
6464,1,0,100
6478,1,0,100
6481,1,0,100
6501,1,0,100
6513,1,0,100
6520,1,0,100
6527,1,0,100
6528,1,0,100
6534,1,0,100
6558,1,0,100
6559,1,0,100
6576,1,0,100
6581,1,0,100
6619,1,0,100
6634,1,0,100
6635,1,0,100
6636,1,0,100
6698,1,0,100
6700,1,0,100
6702,1,0,100
6722,1,0,100
6724,1,0,100
6762,1,0,100
6766,1,0,100
6769,1,0,100
6816,1,0,100
6824,1,0,100
6847,1,0,100
6861,1,0,100
6864,1,0,100
6876,1,0,100
6888,1,0,100
6902,1,0,100
6909,1,0,100
6924,1,0,100
